City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
184,Ribeira Grande,PT,38.5167,-28.7,77.4,83,75,11.5,broken clouds
185,Taltal,CL,-25.4,-70.4833,60.62,72,11,3.69,few clouds
186,Ust-Omchug,RU,61.15,149.6333,52.86,89,100,1.03,overcast clouds
187,Linfen,CN,36.0889,111.5189,79.63,56,38,2.1,scattered clouds
188,Kuching,MY,1.55,110.3333,75.42,100,20,2.3,few clouds
189,Alofi,NU,-19.0595,-169.9187,60.69,94,100,4.61,overcast clouds
190,Kahului,US,20.8947,-156.47,82.42,62,0,17.27,clear sky
191,Clevelandia,BR,-26.3958,-52.4708,71.29,66,100,4.09,overcast clouds
192,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,73,0,13.44,clear sky
193,Avera,US,33.194,-82.5271,94.51,40,26,3.47,scattered clouds
194,Vila Velha,BR,-20.3297,-40.2925,78.75,69,75,11.5,broken clouds
195,Ketchikan,US,55.3422,-131.6461,57.67,94,100,14.97,moderate rain
196,Palauig,PH,15.435,119.9045,81.82,80,62,4.14,broken clouds
197,Bone,DE,51.9669,12.1396,78.89,47,16,6.85,few clouds
198,Haines Junction,CA,60.7522,-137.5108,49.95,87,100,0.0,overcast clouds
199,Narsaq,GL,60.9167,-46.05,61.02,60,74,4.59,broken clouds
200,Noumea,NC,-22.2763,166.4572,73.99,99,21,5.3,few clouds
201,Matamoros,MX,25.5333,-103.25,89.71,29,0,9.22,clear sky
202,Tiksi,RU,71.6872,128.8694,45.01,79,8,3.89,clear sky
203,Chumikan,RU,54.7183,135.315,53.38,98,39,5.64,scattered clouds
204,Pochutla,MX,15.7432,-96.4661,85.82,57,100,5.14,overcast clouds
205,Jalu,LY,29.0331,21.5482,89.82,17,0,7.49,clear sky
206,Eyemouth,GB,55.8713,-2.0901,68.81,73,26,18.81,scattered clouds
207,Sao Filipe,CV,14.8961,-24.4956,78.98,80,100,1.61,light rain
208,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,53,8.01,broken clouds
209,Axim,GH,4.8699,-2.2405,74.7,83,21,7.4,few clouds
210,Providencia,MX,28.7167,-111.5833,96.24,49,98,21.36,overcast clouds
211,Namibe,AO,-15.1961,12.1522,64.02,87,81,3.2,broken clouds
212,Port-Gentil,GA,-0.7193,8.7815,75.16,78,40,8.05,scattered clouds
213,Kotri,PK,25.366,68.3122,77.97,92,100,7.27,moderate rain
214,Campos Do Jordao,BR,-22.7394,-45.5914,72.95,34,93,2.35,overcast clouds
215,Taoudenni,ML,22.6783,-3.9836,106.18,16,19,7.87,few clouds
216,Constitucion,CL,-35.3333,-72.4167,55.13,91,100,11.43,overcast clouds
217,Port Elizabeth,ZA,-33.918,25.5701,55.09,96,40,5.75,scattered clouds
218,Arlit,NE,18.7369,7.3853,102.6,17,15,10.31,few clouds
219,Tigbao,PH,12.5546,123.3389,81.12,80,95,5.37,overcast clouds
220,Dingle,PH,10.9995,122.6711,76.64,90,100,2.06,overcast clouds
221,Georgetown,MY,5.4112,100.3354,78.73,98,40,2.3,scattered clouds
222,Gonbad-E Qabus,IR,37.25,55.1672,79.75,65,100,10.2,overcast clouds
223,Laguna,US,38.421,-121.4238,94.08,42,0,4.61,clear sky
224,Rocha,UY,-34.4833,-54.3333,65.44,88,100,3.94,overcast clouds
225,Kijang,KR,35.2442,129.2139,74.93,93,0,2.8,clear sky
226,Lavrentiya,RU,65.5833,-171.0,41.22,94,100,9.84,moderate rain
227,Bonfim,BR,3.0833,-59.95,77.36,86,97,5.61,overcast clouds
228,Lata,PT,40.1629,-8.3327,75.07,46,1,5.64,clear sky
229,Chimoio,MZ,-19.1164,33.4833,61.32,55,0,2.75,clear sky
230,Sitka,US,57.0531,-135.33,57.09,88,100,8.05,light rain
231,Svetlogorsk,BY,52.6333,29.7333,62.83,96,25,8.57,scattered clouds
232,Igarka,RU,67.4667,86.5833,52.36,96,100,23.8,overcast clouds
233,Dwarka,IN,22.2394,68.9678,81.75,85,100,21.54,overcast clouds
234,Provideniya,RU,64.3833,-173.3,44.08,83,99,5.64,overcast clouds
235,Kipushi,CD,-11.7667,27.2333,62.98,42,36,3.4,scattered clouds
236,Valea Ciorii,RO,44.7167,27.5667,84.34,43,30,11.18,scattered clouds
237,Pevek,RU,69.7008,170.3133,35.28,91,38,1.81,scattered clouds
238,Xianyang,CN,34.3378,108.7026,76.24,88,0,2.24,clear sky
239,Urengoy,RU,65.9667,78.3667,51.55,89,100,12.15,overcast clouds
240,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,4.61,broken clouds
241,Margate,GB,51.3813,1.3862,78.87,66,97,3.0,overcast clouds
242,Dunedin,NZ,-45.8742,170.5036,44.8,80,100,2.06,overcast clouds
243,Sorland,NO,67.667,12.6934,53.46,79,98,18.19,overcast clouds
244,Mentougou,CN,39.9392,116.0917,74.34,63,98,3.18,overcast clouds
245,Lar,IN,26.2039,83.9717,80.46,83,77,12.84,broken clouds
246,Bengkulu,ID,-3.8004,102.2655,75.72,91,100,6.69,light rain
247,Koslan,RU,63.4564,48.8989,52.23,86,100,3.65,overcast clouds
248,Osorno,CL,-40.5667,-73.15,50.31,87,75,2.3,light rain
249,Tateyama,JP,34.9833,139.8667,79.11,87,99,11.05,overcast clouds
250,Nabire,ID,-3.3667,135.4833,75.47,92,100,3.02,overcast clouds
251,Katsuura,JP,35.1333,140.3,77.52,87,97,11.1,overcast clouds
252,Verkh-Usugli,RU,52.7,115.1667,58.96,97,100,3.11,light rain
253,Batagay-Alyta,RU,67.8006,130.4114,53.62,89,62,1.23,broken clouds
254,Sunnyside,US,46.3237,-120.0087,92.34,37,0,0.0,clear sky
255,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,56,0,4.61,clear sky
256,Saint Anthony,US,45.0205,-93.218,78.93,48,75,23.02,broken clouds
257,Esperance,AU,-33.8667,121.9,52.29,69,100,12.35,overcast clouds
