City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
132,Aklavik,CA,68.2191,-135.0107,51.8,93,100,10.36,light rain
133,Thompson,CA,55.7435,-97.8558,66.36,48,75,13.8,broken clouds
134,Bago,MM,17.3367,96.4797,76.08,90,89,4.32,overcast clouds
135,Puerto Ayora,EC,-0.7393,-90.3518,69.17,78,69,9.13,broken clouds
136,Norman Wells,CA,65.282,-126.8329,66.15,54,100,6.69,overcast clouds
137,Atuona,PF,-9.8,-139.0333,77.41,75,46,18.88,scattered clouds
138,Boma,GH,7.0805,-2.1697,69.24,93,86,2.51,overcast clouds
139,San Diego De Los Banos,CU,22.6467,-83.3697,80.31,82,75,3.31,broken clouds
140,Clyde River,CA,70.4692,-68.5914,55.63,67,0,6.91,clear sky
141,Belvidere,US,42.2639,-88.8443,81.1,78,55,11.97,broken clouds
142,Livingstone,ZM,-17.8419,25.8543,58.01,53,7,2.13,clear sky
143,Beyneu,KZ,45.3167,55.2,77.86,50,63,6.87,broken clouds
144,Bilokurakyne,UA,49.5341,38.7307,59.0,93,35,7.65,scattered clouds
145,Port Hardy,CA,50.6996,-127.4199,62.78,72,40,14.97,scattered clouds
146,Bouar,CF,5.934,15.596,63.68,96,95,1.97,overcast clouds
147,Virginia Beach,US,36.8529,-75.978,83.16,73,66,8.05,broken clouds
148,Yeppoon,AU,-23.1333,150.7333,64.18,70,0,6.93,clear sky
149,Ko Samui,TH,9.5357,99.9357,82.04,74,84,1.32,broken clouds
150,Samarai,PG,-10.6167,150.6667,80.35,81,82,13.31,broken clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,71.76,87,18,21.45,few clouds
152,Khorixas,NA,-20.3667,14.9667,61.41,43,0,5.01,clear sky
153,Provideniya,RU,64.3833,-173.3,47.26,77,97,2.93,light rain
154,Zhuhai,CN,22.2769,113.5678,88.86,84,20,3.44,few clouds
155,Vao,NC,-22.6667,167.4833,73.45,87,69,12.1,broken clouds
156,Verkhnyaya Inta,RU,65.9811,60.3094,51.76,81,100,15.32,overcast clouds
157,Taicheng,CN,38.731,113.228,71.53,50,0,1.99,clear sky
158,Chapais,CA,49.7834,-74.8492,62.38,78,80,5.17,broken clouds
159,Shalyhyne,UA,51.5717,34.1217,63.63,84,41,6.33,scattered clouds
160,Tasiilaq,GL,65.6145,-37.6368,38.08,82,100,7.83,overcast clouds
161,Talnakh,RU,69.4865,88.3972,69.21,50,87,4.32,overcast clouds
162,Zhigansk,RU,66.7697,123.3711,58.66,71,39,9.37,scattered clouds
163,Dwarka,IN,22.2394,68.9678,81.77,84,100,22.24,overcast clouds
164,Sisimiut,GL,66.9395,-53.6735,45.32,84,100,2.33,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,84.65,68,17,9.69,few clouds
166,Quixada,BR,-4.9714,-39.0153,79.48,57,96,5.59,overcast clouds
167,Ballina,AU,-28.8667,153.5667,62.78,83,74,13.69,broken clouds
168,Sept-Iles,CA,50.2001,-66.3821,66.72,90,75,3.44,broken clouds
169,Manggar,ID,-2.8833,108.2667,81.1,79,55,11.27,broken clouds
